Number,Name,Type,LastEruptionYear,Country,Region,EvidenceCategory,MajorRocks,MinorRocks,PopulationClose
253004,Madilogo,Pyroclastic cone,Unknown,Papua New Guinea,New Guinea and D'Entrecasteaux Islands,Evidence Credible,Trachybasalt / Tephrite Basanite,,670
312150,Mageik,Stratovolcano,-500,United States,Alaska Peninsula,Eruption Dated,Andesite / Basaltic Andesite	Dacite,,0
266110,Mahawu,Stratovolcano,1977,Indonesia,Sulawesi,Eruption Observed,Andesite / Basaltic Andesite	Dacite	Basalt / Picro-Basalt,,111852
357021,Maipo,Caldera,1912,Chile-Argentina,Central Chile and Argentina,Eruption Observed,Trachyandesite / Basaltic Trachyandesite	Dacite	Trachyte / Trachydacite,,3916
271040,Makaturing,Stratovolcano,1882,Philippines,Mindanao,Eruption Observed,Basalt / Picro-Basalt,,9752
268070,Makian,Stratovolcano,1988,Indonesia,Halmahera,Eruption Observed,Andesite / Basaltic Andesite	Basalt / Picro-Basalt,,8466
311310,Makushin,Stratovolcano,1995,United States,Aleutian Islands,Eruption Observed,Andesite / Basaltic Andesite	Basalt / Picro-Basalt	Trachyandesite / Basaltic Trachyandesite,Trachyte / Trachydacite,0
341091,"Malinche, La",Stratovolcano,-1170,Mexico,Mexico,Eruption Dated,Andesite / Basaltic Andesite	Dacite,,2769
271071,Malindang,Stratovolcano,Unknown,Philippines,Mindanao,Evidence Credible,Basalt / Picro-Basalt	Andesite / Basaltic Andesite,Dacite,13659
273044,Malindig,Stratovolcano,Unknown,Philippines,Luzon,Evidence Credible,Andesite / Basaltic Andesite,,21486
261121,Malintang,Stratovolcano,Unknown,Indonesia,Sumatra,Evidence Credible,Andesite / Basaltic Andesite,Dacite,535
221102,Mallahle,Stratovolcano,Unknown,Ethiopia-Eritrea,Africa (northeastern) and Red Sea,Evidence Uncertain,Trachyte / Trachydacite	Rhyolite	Basalt / Picro-Basalt,,1454
300290,Maly Payalpan,Shield(s),Unknown,Russia,Kamchatka Peninsula,Evidence Uncertain,Andesite / Basaltic Andesite	Basalt / Picro-Basalt,,12
300140,Maly Semyachik,Caldera,1952,Russia,Kamchatka Peninsula,Eruption Observed,Basalt / Picro-Basalt	Andesite / Basaltic Andesite,Dacite,98
323150,Mammoth Mountain,Lava dome(s),1260,United States,USA (California),Eruption Dated,Trachyte / Trachydacite	Trachybasalt / Tephrite Basanite	Trachyandesite / Basaltic Trachyandesite,Basalt / Picro-Basalt	Rhyolite,6242
253021,Managlase Plateau,Volcanic field,Unknown,Papua New Guinea,New Guinea and D'Entrecasteaux Islands,Evidence Credible,Trachybasalt / Tephrite Basanite	Trachyandesite / Basaltic Trachyandesite	Dacite,,5732
251020,Manam,Stratovolcano,2019,Papua New Guinea,Northeast of New Guinea,Eruption Observed,Basalt / Picro-Basalt	Andesite / Basaltic Andesite,,2553
